Date,Revenue,Expenses,Profit,Cash Flow,Debt,Assets,Liabilities,Marketing Spend,Employee Count,Tax Paid,Operational Cost
2000-01-01,91910,56996,34914,36583,37428,50606,50085,14159,278,7633,42235.94
2000-01-02,76044,17614,58430,57621,15068,143451,53894,12173,346,11913,12960.62
2000-01-03,87214,49647,37567,42285,20229,67733,30019,15107,379,11490,39471.72
2000-01-04,53827,72940,-19113,-16957,33478,90394,53827,17132,444,3905,56926.27
2000-01-05,75820,15620,60200,63913,21908,110797,28184,14723,220,13197,12298.48
2000-01-06,82623,38082,44541,46058,33548,56358,45233,9976,250,14531,27262.69
2000-01-07,95450,36891,58559,58694,35461,93846,69919,14467,436,2494,23230.71
2000-01-08,42299,56030,-13731,-8837,13014,124168,63997,15637,98,10589,44075.68
2000-01-09,63585,77395,-13810,-12059,46942,136803,59912,6548,226,3336,59953.43
2000-01-10,84044,65955,18089,21298,34884,124307,51064,7021,477,11710,45030.44
2000-01-11,62557,47314,15243,17417,13104,82084,24367,8695,439,9968,33621.58
2000-01-12,69080,38500,30580,27299,29321,149627,22123,15089,353,7163,23858.76
2000-01-13,22693,68685,-45992,-42931,24017,67693,60494,8327,120,10424,46296.36
2000-01-14,89163,73411,15752,14766,22063,109166,54485,5885,204,7649,55847.79
2000-01-15,45939,79783,-33844,-37966,27334,62926,52825,12238,304,3308,63457.5
2000-01-16,68925,49693,19232,23017,14565,127267,51436,9500,227,12754,34633.94
2000-01-17,62941,65189,-2248,-976,44306,101693,45597,12904,263,2543,42809.64
2000-01-18,41834,43018,-1184,-4575,23225,125496,52413,8466,170,9856,32473.53
2000-01-19,38047,34567,3480,7547,34321,125365,49155,19341,388,7846,26648.12
2000-01-20,46105,40978,5127,6841,40623,134118,39983,5419,143,3339,29799.66
2000-01-21,95766,25553,70213,70322,37627,76436,21756,5566,391,2097,17798.14
2000-01-22,35707,24630,11077,8525,37710,138755,20794,16297,200,2429,19179.28
2000-01-23,41976,27003,14973,12109,29748,139042,50924,15717,253,13599,19853.56
2000-01-24,64262,56444,7818,9784,28499,149505,54877,15952,115,4023,33877.5
2000-01-25,43776,35648,8128,5181,10846,129814,57840,7886,334,8533,28318.06
2000-01-26,50080,46607,3473,6236,42392,110116,43451,9013,270,12831,34616.41
2000-01-27,86842,52666,34176,29259,42350,100720,42931,19116,319,11573,36683.23
2000-01-28,81373,39821,41552,46183,24582,102179,28246,17219,378,11363,24014.19
2000-01-29,26776,29601,-2825,-5157,46837,66392,44882,6937,158,11264,18029.51
2000-01-30,75016,60904,14112,14343,34031,122455,41572,17848,283,6249,48333.42
2000-01-31,29474,62346,-32872,-28982,36837,66586,46455,14308,395,10119,47335
2000-02-01,78053,21121,56932,53752,16911,126038,40680,11484,334,3279,13081.85
2000-02-02,41959,53557,-11598,-12184,38548,112612,47041,15125,182,10038,40146.8
2000-02-03,25530,67523,-41993,-39744,31490,112555,41229,17047,263,13439,42846.52
2000-02-04,23748,31310,-7562,-3272,36697,62852,36794,10273,236,5717,21216.12
2000-02-05,33545,65502,-31957,-30385,33625,128350,45188,15356,398,6076,45932.16
2000-02-06,86199,72873,13326,15953,22912,137495,36992,16486,126,4490,56900.39
2000-02-07,54766,37098,17668,15562,19478,119067,25487,14210,195,9793,22644.89
2000-02-08,93530,60902,32628,31045,42825,78100,55109,16570,120,11983,38177.8
2000-02-09,81087,67966,13121,8369,19876,122903,51004,14720,238,13808,51273.33
2000-02-10,88840,38531,50309,53119,49637,130932,28165,9682,414,14749,30794.82
2000-02-11,74384,54253,20131,17021,26171,90909,33090,9447,417,4291,40975.27
2000-02-12,71005,24980,46025,48905,11304,106707,29491,16097,353,11215,18873.15
